Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
-0.0860098,-0.302374,0.0404643,-0.416046,-0.249238,-0.387732,-0.952248,0.621306,-0.192794,-0.916951,-0.0393646,0.019522,-0.416046,0.0328679,0.00616506,-0.952248,-0.0518337,-0.0619022,-0.916951,-0.490537,-0.494703,-0.0860098,-0.383497,0.00924101,-0.952248,0.222177,-0.0970605,-0.916951,0.217251,0.0419966,-0.0860098,0.236949,0.0633117,-0.416046,0.403508,0.0837183
-0.0718859,-0.285277,0.0429166,-0.362294,-0.2232,-0.338155,-0.90869,0.606759,-0.182597,-0.831699,-0.0144559,0.0203485,-0.362294,0.037095,0.00869091,-0.90869,-0.0467663,-0.058242,-0.831699,-0.423146,-0.44546,-0.0718859,-0.367019,0.0166845,-0.90869,0.23924,-0.0903396,-0.831699,0.230871,0.0496299,-0.0718859,0.277617,0.0714413,-0.362294,0.400399,0.0887839
-0.057762,-0.268179,0.0453689,-0.308543,-0.196799,-0.288578,-0.865131,0.592213,-0.1724,-0.746446,0.00925257,0.0211751,-0.308543,0.0416336,0.0112168,-0.865131,-0.0416989,-0.0545818,-0.746446,-0.357904,-0.396216,-0.057762,-0.350541,0.0241279,-0.865131,0.256304,-0.0836186,-0.746446,0.243852,0.0572633,-0.057762,0.318286,0.079571,-0.308543,0.397054,0.0938494
-0.043638,-0.251082,0.0478212,-0.254792,-0.169441,-0.239001,-0.821573,0.577667,-0.162204,-0.661193,0.0319657,0.0220016,-0.254792,0.0469909,0.0137426,-0.821573,-0.0366314,-0.0509215,-0.661193,-0.294445,-0.346973,-0.043638,-0.334063,0.0315714,-0.821573,0.273367,-0.0768977,-0.661193,0.256301,0.0648966,-0.043638,0.358954,0.0877007,-0.254792,0.393092,0.098915
-0.0295141,-0.228978,0.0502735,-0.201041,-0.142084,-0.189424,-0.778014,0.56312,-0.152007,-0.575941,0.0536097,0.0228282,-0.201041,0.0523481,0.0162685,-0.778014,-0.031564,-0.0472613,-0.575941,-0.232761,-0.297729,-0.0295141,-0.308332,0.0390149,-0.778014,0.29043,-0.0701767,-0.575941,0.26849,0.07253,-0.0295141,0.393288,0.0958303,-0.201041,0.38913,0.103981
-0.0153902,-0.203905,0.0527258,-0.14729,-0.114726,-0.139847,-0.734455,0.548574,-0.141811,-0.490688,0.0744101,0.0236548,-0.14729,0.0577054,0.0187943,-0.734455,-0.0264965,-0.0436011,-0.490688,-0.172477,-0.248486,-0.0153902,-0.276406,0.0464583,-0.734455,0.307494,-0.0634558,-0.490688,0.280473,0.0801634,-0.0153902,0.422473,0.10396,-0.14729,0.385167,0.109046
-0.00126622,-0.178604,0.0551781,-0.0935388,-0.0873686,-0.0902695,-0.690897,0.534028,-0.131614,-0.405435,0.0934973,0.0244813,-0.0935388,0.0630626,0.0213201,-0.690897,-0.0214291,-0.0399408,-0.405435,-0.114937,-0.199243,-0.00126622,-0.243264,0.0539018,-0.690897,0.324557,-0.0567348,-0.405435,0.292259,0.0877967,-0.00126622,0.449806,0.11209,-0.0935388,0.381205,0.114112
0.0128577,-0.153475,0.0576304,-0.0397877,-0.0600111,-0.0406924,-0.647338,0.519481,-0.121418,-0.320183,0.111596,0.0253079,-0.0397877,0.0684199,0.023846,-0.647338,-0.0163617,-0.0362806,-0.320183,-0.0589498,-0.149999,0.0128577,-0.207188,0.0613452,-0.647338,0.34162,-0.0500139,-0.320183,0.303997,0.0954301,0.0128577,0.469747,0.120219,-0.0397877,0.377243,0.119177
0.0269817,-0.128906,0.0600827,0.0139634,-0.0326535,0.00888477,-0.60378,0.504935,-0.111221,-0.23493,0.127012,0.0261344,0.0139634,0.0737771,0.0263718,-0.60378,-0.0112942,-0.0326203,-0.23493,-0.00702915,-0.100756,0.0269817,-0.167207,0.0687887,-0.60378,0.358684,-0.0432929,-0.23493,0.315647,0.103063,0.0269817,0.478299,0.128349,0.0139634,0.373281,0.124243
0.0411056,-0.104337,0.062535,0.0677145,-0.00529601,0.0584619,-0.560221,0.490388,-0.101025,-0.149678,0.141641,0.026961,0.0677145,0.0791343,0.0288977,-0.560221,-0.0062268,-0.0289601,-0.149678,0.043714,-0.0515122,0.0411056,-0.127226,0.0762322,-0.560221,0.375747,-0.0365719,-0.149678,0.327271,0.110697,0.0411056,0.486851,0.136479,0.0677145,0.369318,0.129308
