CL_vs_Q1_abscissa,CL_vs_Q1_spline,CL_vs_Q1_regression,CL_vs_Vc_abscissa,CL_vs_Vc_spline,CL_vs_Vc_regression,CL_vs_Vp1_abscissa,CL_vs_Vp1_spline,CL_vs_Vp1_regression,Q1_vs_CL_abscissa,Q1_vs_CL_spline,Q1_vs_CL_regression,Q1_vs_Vc_abscissa,Q1_vs_Vc_spline,Q1_vs_Vc_regression,Q1_vs_Vp1_abscissa,Q1_vs_Vp1_spline,Q1_vs_Vp1_regression,Vc_vs_CL_abscissa,Vc_vs_CL_spline,Vc_vs_CL_regression,Vc_vs_Q1_abscissa,Vc_vs_Q1_spline,Vc_vs_Q1_regression,Vc_vs_Vp1_abscissa,Vc_vs_Vp1_spline,Vc_vs_Vp1_regression,Vp1_vs_CL_abscissa,Vp1_vs_CL_spline,Vp1_vs_CL_regression,Vp1_vs_Q1_abscissa,Vp1_vs_Q1_spline,Vp1_vs_Q1_regression,Vp1_vs_Vc_abscissa,Vp1_vs_Vc_spline,Vp1_vs_Vc_regression
1.84138,0.0696421,0.0422391,0.230393,-0.0387992,0.0302283,0.975264,0.100654,0.026187,0.714802,-0.240075,-0.0642436,0.230393,0.0283801,0.127129,0.975264,-1.21471,-1.02463,0.714802,-0.00948062,-0.0134125,1.84138,0.01433,0.0475922,0.975264,-0.076205,-0.0531076,0.714802,-0.0202034,0.035501,1.84138,-0.522838,-0.934896,0.230393,-0.039251,-0.105424
1.88455,0.0639293,0.0426908,0.240919,-0.0455521,0.0305851,1.00854,0.106592,0.0263414,0.735664,-0.171195,-0.0627352,0.240919,0.0450589,0.137316,1.00854,-1.24574,-1.05648,0.735664,-0.0254239,-0.0132403,1.88455,0.0170354,0.0490649,1.00854,-0.0730058,-0.0542961,0.735664,-0.0880073,0.0358438,1.88455,-0.517616,-0.956062,0.240919,-0.0495287,-0.110888
1.92771,0.0582165,0.0431425,0.251446,-0.052305,0.0309418,1.04181,0.107307,0.0264958,0.756525,-0.0984805,-0.0612268,0.251446,0.0617376,0.147503,1.04181,-1.2881,-1.08832,0.756525,-0.0422287,-0.0130681,1.92771,0.0197408,0.0505376,1.04181,-0.068848,-0.0554846,0.756525,-0.158889,0.0361865,1.92771,-0.512394,-0.977228,0.251446,-0.0598064,-0.116353
1.97088,0.0525036,0.0435942,0.261973,-0.059058,0.0312985,1.07508,0.106971,0.0266502,0.777387,-0.0257655,-0.0597184,0.261973,0.0784164,0.15769,1.07508,-1.33274,-1.12016,0.777387,-0.0590336,-0.0128959,1.97088,0.0224462,0.0520103,1.07508,-0.0644972,-0.0566731,0.777387,-0.229771,0.0365293,1.97088,-0.507172,-0.998395,0.261973,-0.0700841,-0.121818
2.01404,0.0467908,0.0440459,0.272499,-0.0658109,0.0316552,1.10836,0.106636,0.0268046,0.798248,0.0469495,-0.05821,0.272499,0.0950951,0.167878,1.10836,-1.37737,-1.15201,0.798248,-0.0758384,-0.0127237,2.01404,0.0251516,0.053483,1.10836,-0.0601465,-0.0578616,0.798248,-0.300652,0.036872,2.01404,-0.50195,-1.01956,0.272499,-0.0803618,-0.127283
2.05721,0.041078,0.0444976,0.283026,-0.0694513,0.0320119,1.14163,0.1063,0.0269591,0.81911,0.119665,-0.0567016,0.283026,0.106484,0.178065,1.14163,-1.42201,-1.18385,0.81911,-0.0926432,-0.0125515,2.05721,0.027857,0.0549557,1.14163,-0.0557957,-0.0590501,0.81911,-0.371534,0.0372148,2.05721,-0.496729,-1.04073,0.283026,-0.100128,-0.132748
2.10037,0.0353651,0.0449493,0.293553,-0.0729986,0.0323686,1.1749,0.105964,0.0271135,0.839972,0.192379,-0.0551932,0.293553,0.117715,0.188252,1.1749,-1.46664,-1.21569,0.839972,-0.109448,-0.0123793,2.10037,0.0305624,0.0564284,1.1749,-0.051445,-0.0602386,0.839972,-0.442416,0.0375575,2.10037,-0.491507,-1.06189,0.293553,-0.120177,-0.138212
2.14354,0.0296523,0.0454011,0.304079,-0.076546,0.0327253,1.20818,0.105628,0.0272679,0.860833,0.265094,-0.0536848,0.304079,0.128946,0.19844,1.20818,-1.51128,-1.24754,0.860833,-0.126253,-0.0122071,2.14354,0.0332678,0.057901,1.20818,-0.0470942,-0.0614271,0.860833,-0.513298,0.0379003,2.14354,-0.486285,-1.08306,0.304079,-0.140226,-0.143677
2.1867,0.0239395,0.0458528,0.314606,-0.0800597,0.0330821,1.24145,0.10084,0.0274223,0.881695,0.337809,-0.0521764,0.314606,0.140103,0.208627,1.24145,-1.56646,-1.27938,0.881695,-0.143058,-0.0120349,2.1867,0.0359732,0.0593737,1.24145,-0.0426337,-0.0626156,0.881695,-0.584179,0.0382431,2.1867,-0.481063,-1.10423,0.314606,-0.160368,-0.149142
2.22987,0.0182266,0.0463045,0.325132,-0.0806429,0.0334388,1.27472,0.0912467,0.0275767,0.902556,0.410524,-0.050668,0.325132,0.144702,0.218814,1.27472,-1.63325,-1.31122,0.902556,-0.159862,-0.0118627,2.22987,0.0386786,0.0608464,1.27472,-0.0382368,-0.0638041,0.902556,-0.655061,0.0385858,2.22987,-0.475841,-1.12539,0.325132,-0.188507,-0.154607
2.27304,0.0125138,0.0467562,0.335659,-0.0796097,0.0337955,1.308,0.080126,0.0277312,0.923418,0.483239,-0.0491596,0.335659,0.145335,0.229002,1.308,-1.70378,-1.34307,0.923418,-0.176667,-0.0116905,2.27304,0.041384,0.0623191,1.308,-0.0339023,-0.0649927,0.923418,-0.725943,0.0389286,2.27304,-0.470619,-1.14656,0.335659,-0.22085,-0.160072
2.3162,0.000856119,0.0472079,0.346186,-0.0785765,0.0341522,1.34127,0.0690054,0.0278856,0.94428,0.555954,-0.0476512,0.346186,0.145969,0.239189,1.34127,-1.77432,-1.37491,0.94428,-0.193472,-0.0115183,2.3162,0.0462738,0.0637918,1.34127,-0.0295679,-0.0661812,0.94428,-0.796824,0.0392713,2.3162,-0.466358,-1.16773,0.346186,-0.253193,-0.165536
