pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.154299,0.588235,0.12481,0.588235,0.141,0.588235,All
-0.15412,0.591176,0.142665,0.591176,0.142033,0.591176,All
-0.153987,0.594118,0.145207,0.594118,0.142747,0.594118,All
-0.153968,0.597059,0.155451,0.597059,0.147225,0.597059,All
-0.152799,0.6,0.160718,0.6,0.151513,0.6,All
-0.152617,0.602941,0.160859,0.602941,0.158802,0.602941,All
-0.151766,0.605882,0.194063,0.605882,0.161658,0.605882,All
-0.151303,0.608824,0.19712,0.608824,0.162218,0.608824,All
-0.151283,0.611765,0.22031,0.611765,0.166385,0.611765,All
-0.149938,0.614706,0.239787,0.614706,0.16681,0.614706,All
-0.148288,0.617647,0.239836,0.617647,0.171541,0.617647,All
-0.148172,0.620588,0.242324,0.620588,0.174192,0.620588,All
-0.147229,0.623529,0.249161,0.623529,0.178329,0.623529,All
-0.146796,0.626471,0.250301,0.626471,0.182103,0.626471,All
-0.145748,0.629412,0.265862,0.629412,0.182217,0.629412,All
-0.144233,0.632353,0.273525,0.632353,0.187822,0.632353,All
-0.142719,0.635294,0.278088,0.635294,0.18944,0.635294,All
-0.142672,0.638235,0.281802,0.638235,0.200149,0.638235,All
-0.141341,0.641176,0.2994,0.641176,0.202526,0.641176,All
-0.140668,0.644118,0.305309,0.644118,0.206315,0.644118,All
-0.140272,0.647059,0.306735,0.647059,0.207754,0.647059,All
-0.139757,0.65,0.311533,0.65,0.208716,0.65,All
-0.139032,0.652941,0.333698,0.652941,0.209564,0.652941,All
-0.138945,0.655882,0.342277,0.655882,0.214527,0.655882,All
-0.138409,0.658824,0.350472,0.658824,0.217842,0.658824,All
-0.137642,0.661765,0.35074,0.661765,0.220234,0.661765,All
-0.137548,0.664706,0.35656,0.664706,0.22237,0.664706,All
-0.1366,0.667647,0.377882,0.667647,0.22423,0.667647,All
-0.136402,0.670588,0.392296,0.670588,0.232504,0.670588,All
-0.13581,0.673529,0.393922,0.673529,0.236992,0.673529,All
-0.135507,0.676471,0.407592,0.676471,0.241525,0.676471,All
-0.132007,0.679412,0.416428,0.679412,0.244973,0.679412,All
-0.130585,0.682353,0.419159,0.682353,0.246681,0.682353,All
-0.130267,0.685294,0.430851,0.685294,0.248058,0.685294,All
-0.129546,0.688235,0.439151,0.688235,0.256256,0.688235,All
-0.128228,0.691176,0.440524,0.691176,0.271844,0.691176,All
-0.127552,0.694118,0.460072,0.694118,0.274959,0.694118,All
-0.122257,0.697059,0.469721,0.697059,0.275473,0.697059,All
-0.121402,0.7,0.481214,0.7,0.286474,0.7,All
-0.12138,0.702941,0.490882,0.702941,0.286824,0.702941,All
-0.120549,0.705882,0.491219,0.705882,0.288455,0.705882,All
-0.12002,0.708824,0.492963,0.708824,0.291465,0.708824,All
-0.118843,0.711765,0.493794,0.711765,0.293125,0.711765,All
-0.11883,0.714706,0.511108,0.714706,0.296317,0.714706,All
-0.118332,0.717647,0.531941,0.717647,0.309667,0.717647,All
-0.116634,0.720588,0.553065,0.720588,0.321526,0.720588,All
-0.113909,0.723529,0.564764,0.723529,0.330695,0.723529,All
-0.113275,0.726471,0.584059,0.726471,0.333444,0.726471,All
-0.112943,0.729412,0.587082,0.729412,0.335184,0.729412,All
-0.112209,0.732353,0.61357,0.732353,0.342982,0.732353,All
-0.111778,0.735294,0.616449,0.735294,0.350331,0.735294,All
-0.110239,0.738235,0.627595,0.738235,0.351386,0.738235,All
-0.110214,0.741176,0.649964,0.741176,0.352662,0.741176,All
-0.10986,0.744118,0.669212,0.744118,0.35466,0.744118,All
-0.109753,0.747059,0.676681,0.747059,0.357993,0.747059,All
-0.109446,0.75,0.728637,0.75,0.374938,0.75,All
-0.108663,0.752941,0.737877,0.752941,0.378084,0.752941,All
-0.105264,0.755882,0.746146,0.755882,0.379461,0.755882,All
-0.105098,0.758824,0.747795,0.758824,0.405805,0.758824,All
-0.104839,0.761765,0.757338,0.761765,0.422115,0.761765,All
-0.104364,0.764706,0.758888,0.764706,0.429478,0.764706,All
-0.101652,0.767647,0.765713,0.767647,0.438422,0.767647,All
-0.100642,0.770588,0.767263,0.770588,0.440988,0.770588,All
-0.100377,0.773529,0.772933,0.773529,0.452239,0.773529,All
