pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.228185,0.35,-0.53517,0.35,-0.0697627,0.35,All
-0.227923,0.352941,-0.531915,0.352941,-0.0679784,0.352941,All
-0.227134,0.355882,-0.526541,0.355882,-0.0658547,0.355882,All
-0.226939,0.358824,-0.5148,0.358824,-0.0642202,0.358824,All
-0.225066,0.361765,-0.511796,0.361765,-0.0614447,0.361765,All
-0.224508,0.364706,-0.509063,0.364706,-0.059659,0.364706,All
-0.224319,0.367647,-0.477787,0.367647,-0.0545638,0.367647,All
-0.223507,0.370588,-0.4698,0.370588,-0.052405,0.370588,All
-0.222616,0.373529,-0.468774,0.373529,-0.0505423,0.373529,All
-0.220852,0.376471,-0.461126,0.376471,-0.0501471,0.376471,All
-0.220235,0.379412,-0.460683,0.379412,-0.0331464,0.379412,All
-0.219912,0.382353,-0.451022,0.382353,-0.0258821,0.382353,All
-0.219746,0.385294,-0.447776,0.385294,-0.0228908,0.385294,All
-0.219038,0.388235,-0.445973,0.388235,-0.0149697,0.388235,All
-0.218954,0.391176,-0.445504,0.391176,-0.0118737,0.391176,All
-0.21873,0.394118,-0.444788,0.394118,-0.0103069,0.394118,All
-0.218595,0.397059,-0.441487,0.397059,-0.00610863,0.397059,All
-0.21736,0.4,-0.439609,0.4,-0.00570799,0.4,All
-0.216576,0.402941,-0.421568,0.402941,0.00252495,0.402941,All
-0.215759,0.405882,-0.398469,0.405882,0.00685689,0.405882,All
-0.213993,0.408824,-0.388065,0.408824,0.0106697,0.408824,All
-0.213875,0.411765,-0.384187,0.411765,0.0146996,0.411765,All
-0.213646,0.414706,-0.383044,0.414706,0.0174343,0.414706,All
-0.212754,0.417647,-0.374615,0.417647,0.0251119,0.417647,All
-0.212231,0.420588,-0.366849,0.420588,0.0323292,0.420588,All
-0.210763,0.423529,-0.35465,0.423529,0.0329061,0.423529,All
-0.210711,0.426471,-0.354372,0.426471,0.0340614,0.426471,All
-0.210693,0.429412,-0.323814,0.429412,0.0345781,0.429412,All
-0.210673,0.432353,-0.31105,0.432353,0.037102,0.432353,All
-0.210294,0.435294,-0.310169,0.435294,0.0403001,0.435294,All
-0.210129,0.438235,-0.294176,0.438235,0.041485,0.438235,All
-0.209853,0.441176,-0.291672,0.441176,0.0422677,0.441176,All
-0.208758,0.444118,-0.261645,0.444118,0.0437897,0.444118,All
-0.20859,0.447059,-0.244904,0.447059,0.0445768,0.447059,All
-0.207704,0.45,-0.242499,0.45,0.0453774,0.45,All
-0.207665,0.452941,-0.240209,0.452941,0.046404,0.452941,All
-0.207481,0.455882,-0.232074,0.455882,0.0475859,0.455882,All
-0.206865,0.458824,-0.23025,0.458824,0.0485047,0.458824,All
-0.206697,0.461765,-0.219762,0.461765,0.0512539,0.461765,All
-0.206301,0.464706,-0.195875,0.464706,0.0559884,0.464706,All
-0.204992,0.467647,-0.193138,0.467647,0.057824,0.467647,All
-0.204839,0.470588,-0.183354,0.470588,0.0601884,0.470588,All
-0.204636,0.473529,-0.182597,0.473529,0.0623066,0.473529,All
-0.203934,0.476471,-0.16389,0.476471,0.0626238,0.476471,All
-0.20111,0.479412,-0.161351,0.479412,0.0631294,0.479412,All
-0.200648,0.482353,-0.147495,0.482353,0.0650732,0.482353,All
-0.200358,0.485294,-0.139515,0.485294,0.0654749,0.485294,All
-0.2001,0.488235,-0.134302,0.488235,0.0692147,0.488235,All
-0.199491,0.491176,-0.133704,0.491176,0.0702217,0.491176,All
-0.19948,0.494118,-0.117076,0.494118,0.0777205,0.494118,All
-0.19731,0.497059,-0.11439,0.497059,0.0784564,0.497059,All
-0.196686,0.5,-0.10583,0.5,0.0854359,0.5,All
-0.196467,0.502941,-0.101783,0.502941,0.0880037,0.502941,All
-0.196428,0.505882,-0.0894301,0.505882,0.0887112,0.505882,All
-0.196212,0.508824,-0.0842351,0.508824,0.0904731,0.508824,All
-0.196108,0.511765,-0.0801076,0.511765,0.0919041,0.511765,All
-0.195999,0.514706,-0.0729271,0.514706,0.0925399,0.514706,All
-0.195403,0.517647,-0.0642766,0.517647,0.0927451,0.517647,All
-0.195171,0.520588,-0.0235498,0.520588,0.0950594,0.520588,All
-0.195159,0.523529,-0.0178001,0.523529,0.0991212,0.523529,All
-0.193344,0.526471,-0.0156522,0.526471,0.103225,0.526471,All
-0.192523,0.529412,-0.012074,0.529412,0.108977,0.529412,All
-0.190702,0.532353,-0.00851068,0.532353,0.109085,0.532353,All
-0.190627,0.535294,-0.00394591,0.535294,0.109389,0.535294,All
-0.190553,0.538235,0.000961861,0.538235,0.112352,0.538235,All
-0.19021,0.541176,0.00261831,0.541176,0.115949,0.541176,All
-0.189721,0.544118,0.004389,0.544118,0.120982,0.544118,All
-0.189522,0.547059,0.0178555,0.547059,0.122422,0.547059,All
-0.189425,0.55,0.0209965,0.55,0.122603,0.55,All
-0.188475,0.552941,0.023836,0.552941,0.128349,0.552941,All
-0.187446,0.555882,0.0259249,0.555882,0.131394,0.555882,All
-0.187048,0.558824,0.037856,0.558824,0.136608,0.558824,All
-0.18702,0.561765,0.0563924,0.561765,0.142998,0.561765,All
-0.186945,0.564706,0.0575474,0.564706,0.146482,0.564706,All
-0.186502,0.567647,0.0701627,0.567647,0.147512,0.567647,All
-0.185814,0.570588,0.0789032,0.570588,0.149404,0.570588,All
-0.184225,0.573529,0.0831302,0.573529,0.15006,0.573529,All
-0.183747,0.576471,0.0897337,0.576471,0.154065,0.576471,All
-0.18323,0.579412,0.112631,0.579412,0.15803,0.579412,All
-0.183107,0.582353,0.124021,0.582353,0.17146,0.582353,All
-0.182644,0.585294,0.136823,0.585294,0.17418,0.585294,All
-0.18196,0.588235,0.1496,0.588235,0.174192,0.588235,All
-0.18134,0.591176,0.149991,0.591176,0.175394,0.591176,All
-0.180704,0.594118,0.150753,0.594118,0.177054,0.594118,All
-0.180222,0.597059,0.153641,0.597059,0.181415,0.597059,All
-0.180045,0.6,0.15715,0.6,0.182708,0.6,All
-0.179921,0.602941,0.166722,0.602941,0.188192,0.602941,All
-0.179445,0.605882,0.171689,0.605882,0.19059,0.605882,All
-0.179121,0.608824,0.172689,0.608824,0.198817,0.608824,All
-0.178943,0.611765,0.179976,0.611765,0.200798,0.611765,All
-0.178766,0.614706,0.182819,0.614706,0.202644,0.614706,All
-0.178524,0.617647,0.193916,0.617647,0.203832,0.617647,All
-0.176988,0.620588,0.204847,0.620588,0.204453,0.620588,All
-0.176842,0.623529,0.208095,0.623529,0.208163,0.623529,All
-0.176161,0.626471,0.214014,0.626471,0.209129,0.626471,All
-0.175547,0.629412,0.219985,0.629412,0.212125,0.629412,All
-0.174487,0.632353,0.220243,0.632353,0.217685,0.632353,All
-0.174452,0.635294,0.223589,0.635294,0.219052,0.635294,All
