time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
101.699,-0.0869517,101.699,-0.00728976,101.699,-0.0959497,52.7782,0.0182409,91.1399,0.216614,52.7782,0.0401677,All
102.529,-0.0874484,102.529,-0.00206463,102.529,-0.0998948,56.0701,0.0194589,92.4924,0.211875,56.0701,0.0403267,All
109.853,-0.0918313,109.853,0.0440415,109.853,-0.134707,58.995,0.0205411,99.099,0.188723,58.995,0.040468,All
117.176,-0.0962142,117.176,0.0901477,117.176,-0.169518,59.362,0.0206769,105.705,0.151639,59.362,0.0404858,All
124.5,-0.100597,124.5,0.136254,124.5,-0.20433,62.6539,0.0218949,112.312,0.0976763,62.6539,0.0406448,All
131.399,-0.104726,131.399,0.17969,131.399,-0.237125,65.9458,0.0231129,117.911,0.0505057,65.9458,0.0408038,All
131.823,-0.10498,131.823,0.18236,131.823,-0.239142,68.3145,0.0239893,118.919,0.0412483,68.3145,0.0409182,All
139.147,-0.109363,139.147,0.228466,139.147,-0.273953,69.2378,0.0243309,125.525,-0.0216698,69.2378,0.0409628,All
146.47,-0.113746,146.47,0.274572,146.47,-0.308765,72.5297,0.0255489,132.132,-0.0865389,72.5297,0.0411219,All
153.794,-0.103773,153.794,0.307738,153.794,-0.301523,75.8216,0.0267669,138.738,-0.151566,75.8216,0.0412809,All
161.117,-0.0640154,161.117,0.314052,161.117,-0.207021,79.1063,0.0279823,145.345,-0.212528,79.1063,0.0414396,All
168.441,-0.0242573,168.441,0.320366,168.441,-0.112519,79.1135,0.0279849,151.951,-0.26115,79.1135,0.0414399,All
169.772,-0.0170288,169.772,0.321514,169.772,-0.0953379,82.4054,0.0292029,152.547,-0.264973,82.4054,0.041599,All
175.764,0.0155008,175.764,0.326681,175.764,-0.0180179,85.6973,0.0304209,158.558,-0.288955,85.6973,0.041758,All
183.088,-0.0301582,183.088,0.230777,183.088,0.0116192,88.9892,0.0316389,165.164,-0.286799,88.9892,0.041917,All
190.411,-0.0544269,190.411,0.278437,190.411,-0.0649303,91.6029,0.032606,171.771,-0.251512,91.6029,0.0420433,All
197.734,-0.0565644,197.734,0.279715,197.734,-0.0843784,92.2811,0.032857,178.377,-0.205129,92.2811,0.042076,All
205.058,-0.0587018,205.058,0.280993,205.058,-0.103826,95.5731,0.034075,184.984,-0.173909,95.5731,0.0422351,All
212.381,-0.0608392,212.381,0.282271,212.381,-0.123274,98.865,0.035293,191.591,-0.162212,98.865,0.0423941,All
219.351,-0.0628734,219.351,0.283488,219.351,-0.141783,102.157,0.036511,197.356,-0.167843,102.157,0.0425531,All
219.705,-0.0629766,219.705,0.28355,219.705,-0.142722,105.449,0.037729,198.197,-0.169593,105.449,0.0427122,All
227.028,-0.0651141,227.028,0.284828,227.028,-0.162171,106.074,0.0379602,204.804,-0.191461,106.074,0.0427423,All
234.352,-0.0672515,234.352,0.286106,234.352,-0.181619,108.741,0.038947,211.41,-0.22589,108.741,0.0428712,All
241.675,-0.0693889,241.675,0.287384,241.675,-0.201067,112.033,0.040165,218.017,-0.268353,112.033,0.0430302,All
248.999,-0.0586762,248.999,0.276235,248.999,-0.165186,115.325,0.041383,224.623,-0.318684,115.325,0.0431892,All
256.322,-0.0417273,256.322,0.259055,256.322,-0.102455,118.616,0.042601,231.23,-0.37199,118.616,0.0433483,All
263.646,-0.0247784,263.646,0.241876,263.646,-0.0397241,121.908,0.043819,237.836,-0.373373,121.908,0.0435073,All
270.969,-0.00782947,270.969,0.224696,270.969,0.023007,122.83,0.0441601,244.443,-0.321561,122.83,0.0435518,All
278.292,-0.00655173,278.292,0.207467,278.292,0.143378,125.2,0.045037,251.049,-0.269749,125.2,0.0436663,All
283.409,-0.0199614,283.409,0.189426,283.409,0.104545,128.492,0.046255,255.328,-0.236196,128.492,0.0438253,All
285.616,-0.0257453,285.616,0.181645,285.616,0.0877961,131.784,0.047473,257.656,-0.217937,131.784,0.0439844,All
292.939,-0.0449388,292.939,0.155822,292.939,0.0322144,135.076,0.048691,264.262,-0.166125,135.076,0.0441434,All
300.263,-0.0641323,300.263,0.129999,300.263,-0.0233673,138.368,0.049909,270.869,-0.114313,138.368,0.0443024,All
307.586,-0.0833258,307.586,0.104176,307.586,-0.078949,141.66,0.051127,277.476,-0.0625007,141.66,0.0444615,All
314.91,-0.102519,314.91,0.0783535,314.91,-0.134531,142.234,0.0513395,284.082,-0.0106888,142.234,0.0444892,All
322.233,-0.121713,322.233,0.0525307,322.233,-0.190112,144.952,0.0385067,290.689,0.0411232,144.952,0.0278706,All
329.557,-0.140906,329.557,0.0267079,329.557,-0.245694,148.244,0.00405255,297.295,0.0929352,148.244,-0.0151476,All
336.88,-0.130596,336.88,0.0366565,336.88,-0.21299,151.536,-0.0304016,303.902,0.144747,151.536,-0.0581659,All
344.204,-0.103593,344.204,0.0668442,344.204,-0.130334,154.827,-0.0648557,310.508,0.196559,154.827,-0.101184,All
351.527,-0.0765892,351.527,0.0970319,351.527,-0.0476785,158.119,-0.0993098,317.115,0.248371,158.119,-0.144202,All
358.851,-0.0495858,358.851,0.12722,358.851,0.0349771,161.411,-0.133764,323.721,0.300183,161.411,-0.187221,All
366.174,0.0690514,366.174,0.167425,366.174,0.339618,164.703,-0.1833,330.328,0.351995,164.703,-0.244469,All
