pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.465859,0.317241,-0.204873,0.317241,-0.465175,0.317241,All
-0.463586,0.31954,-0.188124,0.31954,-0.461364,0.31954,All
-0.463085,0.321839,-0.185372,0.321839,-0.449454,0.321839,All
-0.462978,0.324138,-0.17363,0.324138,-0.442283,0.324138,All
-0.458321,0.326437,-0.159943,0.326437,-0.423162,0.326437,All
-0.4561,0.328736,-0.156326,0.328736,-0.411787,0.328736,All
-0.455016,0.331034,-0.147798,0.331034,-0.410734,0.331034,All
-0.449944,0.333333,-0.136417,0.333333,-0.406558,0.333333,All
-0.449538,0.335632,-0.118269,0.335632,-0.406472,0.335632,All
-0.448436,0.337931,-0.117009,0.337931,-0.395262,0.337931,All
-0.448403,0.34023,-0.114115,0.34023,-0.387452,0.34023,All
-0.448029,0.342529,-0.109621,0.342529,-0.381889,0.342529,All
-0.446818,0.344828,-0.0880005,0.344828,-0.37916,0.344828,All
-0.445888,0.347126,-0.0856417,0.347126,-0.375543,0.347126,All
-0.443606,0.349425,-0.0835543,0.349425,-0.3689,0.349425,All
-0.442441,0.351724,-0.0831557,0.351724,-0.367994,0.351724,All
-0.437769,0.354023,-0.0759788,0.354023,-0.366702,0.354023,All
-0.436942,0.356322,-0.0709934,0.356322,-0.362246,0.356322,All
-0.435745,0.358621,-0.0538432,0.358621,-0.347447,0.358621,All
-0.433476,0.36092,-0.0528647,0.36092,-0.333011,0.36092,All
-0.433169,0.363218,-0.0397302,0.363218,-0.329452,0.363218,All
-0.433126,0.365517,-0.0318365,0.365517,-0.326553,0.365517,All
-0.4327,0.367816,-0.022447,0.367816,-0.321694,0.367816,All
-0.431415,0.370115,-0.0175685,0.370115,-0.321216,0.370115,All
-0.430129,0.372414,-0.0167068,0.372414,-0.301967,0.372414,All
-0.427896,0.374713,-0.00747077,0.374713,-0.299246,0.374713,All
-0.426615,0.377011,-0.00139639,0.377011,-0.29884,0.377011,All
-0.425483,0.37931,-0.00129974,0.37931,-0.293023,0.37931,All
-0.423717,0.381609,-0.000548428,0.381609,-0.274798,0.381609,All
-0.418423,0.383908,0.00830611,0.383908,-0.271034,0.383908,All
-0.418253,0.386207,0.00960088,0.386207,-0.26632,0.386207,All
-0.417978,0.388506,0.0104832,0.388506,-0.260962,0.388506,All
-0.417938,0.390805,0.0109831,0.390805,-0.259599,0.390805,All
-0.417348,0.393103,0.0109997,0.393103,-0.257919,0.393103,All
-0.416683,0.395402,0.0111126,0.395402,-0.24998,0.395402,All
-0.415337,0.397701,0.0146979,0.397701,-0.239993,0.397701,All
-0.414706,0.4,0.0161951,0.4,-0.229523,0.4,All
-0.413624,0.402299,0.0283014,0.402299,-0.22895,0.402299,All
-0.412076,0.404598,0.0299935,0.404598,-0.223771,0.404598,All
-0.409213,0.406897,0.0302993,0.406897,-0.219823,0.406897,All
-0.406667,0.409195,0.0344471,0.409195,-0.212614,0.409195,All
-0.405955,0.411494,0.0389111,0.411494,-0.209964,0.411494,All
-0.404897,0.413793,0.0509621,0.413793,-0.206255,0.413793,All
-0.401293,0.416092,0.0597109,0.416092,-0.204435,0.416092,All
-0.398918,0.418391,0.0644609,0.418391,-0.202443,0.418391,All
-0.395396,0.42069,0.0748944,0.42069,-0.201751,0.42069,All
-0.392605,0.422989,0.0787369,0.422989,-0.200473,0.422989,All
-0.391742,0.425287,0.0816998,0.425287,-0.20019,0.425287,All
-0.389455,0.427586,0.0861433,0.427586,-0.199792,0.427586,All
-0.388079,0.429885,0.0864718,0.429885,-0.198872,0.429885,All
-0.388001,0.432184,0.0988189,0.432184,-0.191002,0.432184,All
-0.387969,0.434483,0.102087,0.434483,-0.188683,0.434483,All
-0.387231,0.436782,0.103865,0.436782,-0.186592,0.436782,All
-0.383798,0.43908,0.104556,0.43908,-0.182162,0.43908,All
-0.382587,0.441379,0.108352,0.441379,-0.169994,0.441379,All
-0.38176,0.443678,0.109407,0.443678,-0.169337,0.443678,All
-0.380691,0.445977,0.113497,0.445977,-0.165482,0.445977,All
-0.376375,0.448276,0.11612,0.448276,-0.158395,0.448276,All
-0.376227,0.450575,0.128693,0.450575,-0.154353,0.450575,All
-0.375698,0.452874,0.129883,0.452874,-0.149492,0.452874,All
-0.375099,0.455172,0.133143,0.455172,-0.146524,0.455172,All
-0.374292,0.457471,0.133893,0.457471,-0.145776,0.457471,All
-0.36902,0.45977,0.136857,0.45977,-0.143334,0.45977,All
-0.363319,0.462069,0.140344,0.462069,-0.143263,0.462069,All
-0.362158,0.464368,0.155221,0.464368,-0.137333,0.464368,All
-0.359203,0.466667,0.155307,0.466667,-0.137278,0.466667,All
-0.358379,0.468966,0.155335,0.468966,-0.133306,0.468966,All
-0.35722,0.471264,0.158895,0.471264,-0.128953,0.471264,All
-0.35689,0.473563,0.160951,0.473563,-0.125578,0.473563,All
-0.349769,0.475862,0.171894,0.475862,-0.123798,0.475862,All
-0.346448,0.478161,0.191958,0.478161,-0.109096,0.478161,All
-0.346432,0.48046,0.201065,0.48046,-0.0993621,0.48046,All
-0.346032,0.482759,0.207066,0.482759,-0.0993141,0.482759,All
-0.344901,0.485057,0.208099,0.485057,-0.0968859,0.485057,All
-0.343539,0.487356,0.213339,0.487356,-0.0850647,0.487356,All
-0.343033,0.489655,0.220457,0.489655,-0.0833267,0.489655,All
-0.34161,0.491954,0.226181,0.491954,-0.0833253,0.491954,All
-0.340514,0.494253,0.22875,0.494253,-0.0830498,0.494253,All
-0.336751,0.496552,0.229722,0.496552,-0.0830119,0.496552,All
-0.336277,0.498851,0.230066,0.498851,-0.0732652,0.498851,All
-0.333091,0.501149,0.236312,0.501149,-0.0462417,0.501149,All
-0.327359,0.503448,0.239486,0.503448,-0.0321565,0.503448,All
-0.326876,0.505747,0.239823,0.505747,-0.032112,0.505747,All
-0.320328,0.508046,0.24002,0.508046,-0.0247274,0.508046,All
-0.319619,0.510345,0.242193,0.510345,-0.02274,0.510345,All
