time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
59.2188,-0.117989,59.2188,0.0888272,59.2188,0.218917,27.6176,0.186737,182.726,-0.459138,27.6176,0.363287,All
62.5087,-0.121984,62.5087,0.101583,62.5087,0.22799,29.1518,0.1881,193.475,-0.487513,29.1518,0.364658,All
62.9304,-0.122622,62.9304,0.10277,62.9304,0.228944,30.686,0.189462,204.224,-0.513351,30.686,0.366028,All
65.7986,-0.127567,65.7986,0.10838,65.7986,0.234472,32.2202,0.190825,214.972,-0.539188,32.2202,0.367399,All
69.0884,-0.134033,69.0884,0.110745,69.0884,0.239689,32.9176,0.191444,218.457,-0.546955,32.9176,0.368022,All
72.3783,-0.140681,72.3783,0.110159,72.3783,0.244962,33.7544,0.192188,225.721,-0.562131,33.7544,0.368769,All
75.6682,-0.146744,75.6682,0.107976,75.6682,0.251739,35.2886,0.19355,236.469,-0.584589,35.2886,0.370139,All
78.9581,-0.152341,78.9581,0.105183,78.9581,0.259531,36.8228,0.194913,247.218,-0.607048,36.8228,0.37151,All
80.0172,-0.153966,80.0172,0.104043,80.0172,0.262366,38.357,0.196276,257.967,-0.629506,38.357,0.37288,All
82.2479,-0.157207,82.2479,0.10132,82.2479,0.26858,39.8912,0.197638,268.715,-0.651526,39.8912,0.374251,All
85.5378,-0.16162,85.5378,0.0965133,85.5378,0.278002,40.6712,0.198331,279.464,-0.670864,40.6712,0.374947,All
88.8277,-0.165695,88.8277,0.0906608,88.8277,0.287211,41.4254,0.199001,290.212,-0.690202,41.4254,0.375621,All
92.1176,-0.169573,92.1176,0.0837402,92.1176,0.295627,42.9596,0.200364,294.907,-0.698648,42.9596,0.376992,All
95.4074,-0.173365,95.4074,0.0756902,95.4074,0.302741,44.4938,0.197513,300.961,-0.70954,44.4938,0.374718,All
98.6973,-0.177104,98.6973,0.0666401,98.6973,0.308626,46.028,0.191883,311.71,-0.728878,46.028,0.370041,All
101.743,-0.180522,101.743,0.057469,101.743,0.31313,47.5622,0.186254,322.458,-0.748216,47.5622,0.365364,All
101.987,-0.180794,101.987,0.0567117,101.987,0.313463,49.0964,0.180538,333.207,-0.767554,49.0964,0.359948,All
105.277,-0.184441,105.277,0.0460598,105.277,0.317478,50.2512,0.1761,343.955,-0.786892,50.2512,0.3547,All
108.567,-0.188051,108.567,0.0348571,108.567,0.320914,50.6306,0.174642,354.704,-0.80623,50.6306,0.352976,All
111.857,-0.191614,111.857,0.0230918,111.857,0.323867,52.1648,0.168746,365.453,-0.825568,52.1648,0.346004,All
115.147,-0.195178,115.147,0.0113265,115.147,0.326819,53.699,0.16285,376.201,-0.844937,53.699,0.339031,All
118.437,-0.198699,118.437,-0.000645247,118.437,0.329904,55.2332,0.156953,386.95,-0.864306,55.2332,0.332059,All
121.726,-0.202212,121.726,-0.0126354,121.726,0.333053,56.7674,0.151057,397.698,-0.887416,56.7674,0.325087,All
125.016,-0.205714,125.016,-0.0243628,125.016,0.336824,58.3016,0.145161,398.111,-0.888378,58.3016,0.318115,All
128.306,-0.209206,128.306,-0.0358236,128.306,0.341228,59.8358,0.139265,408.447,-0.9125,59.8358,0.311143,All
129.369,-0.210333,129.369,-0.0395251,129.369,0.34265,61.37,0.133368,419.196,-0.937584,61.37,0.30417,All
131.596,-0.212697,131.596,-0.0470354,131.596,0.346103,62.0876,0.130611,429.944,-0.962667,62.0876,0.300909,All
134.886,-0.21624,134.886,-0.0549253,134.886,0.356571,62.9042,0.127472,440.693,-0.987751,62.9042,0.297198,All
138.176,-0.219836,138.176,-0.0598828,138.176,0.371868,64.4384,0.125414,451.441,-1.01283,64.4384,0.289828,All
141.466,-0.223433,141.466,-0.0648403,141.466,0.387165,65.9726,0.125008,462.19,-1.03792,65.9726,0.282286,All
144.756,-0.22703,144.756,-0.0697979,144.756,0.402463,67.5068,0.124602,472.939,-1.063,67.5068,0.274745,All
148.045,-0.230627,148.045,-0.0747554,148.045,0.41776,69.0411,0.124196,483.687,-1.08809,69.0411,0.267203,All
151.335,-0.234224,151.335,-0.0797129,151.335,0.433058,70.5753,0.12379,494.436,-1.11317,70.5753,0.259662,All
154.625,-0.237821,154.625,-0.0846704,154.625,0.448355,72.1095,0.123385,505.184,-1.13825,72.1095,0.25212,All
157.915,-0.241418,157.915,-0.0896279,157.915,0.463652,73.6437,0.122979,515.933,-1.16334,73.6437,0.244579,All
161.205,-0.245015,161.205,-0.0945854,161.205,0.47895,75.1779,0.122573,526.682,-1.18842,75.1779,0.237037,All
164.495,-0.248612,164.495,-0.0995429,164.495,0.494247,76.7121,0.122167,537.43,-1.21351,76.7121,0.229496,All
