CL_abscissa,CL_pdf,CL_cdf,Vc_abscissa,Vc_pdf,Vc_cdf,Q1_abscissa,Q1_pdf,Q1_cdf,Vp1_abscissa,Vp1_pdf,Vp1_cdf,split
64.3909,0.00136326,0.956882,61.115,0.00126375,0.973288,5.07734,0.00551338,0.981642,57.0364,0.00140133,0.969926,All
65.1917,0.00131933,0.957956,61.8586,0.00121248,0.974209,5.14078,0.00535804,0.981987,57.7259,0.00134828,0.970874,All
65.9924,0.00127715,0.958996,62.6023,0.0011636,0.975092,5.20423,0.0052086,0.982322,58.4154,0.00129758,0.971786,All
66.7932,0.00123664,0.960002,63.3459,0.001117,0.97594,5.26767,0.00506478,0.982648,59.1049,0.00124911,0.972664,All
67.594,0.00119771,0.960977,64.0896,0.00107254,0.976754,5.33112,0.00492631,0.982965,59.7944,0.00120275,0.973509,All
68.3948,0.0011603,0.961921,64.8332,0.00103012,0.977536,5.39456,0.00479293,0.983273,60.4839,0.00115841,0.974323,All
69.1955,0.00112433,0.962835,65.5769,0.000989625,0.978286,5.45801,0.00466441,0.983573,61.1733,0.00111598,0.975107,All
69.9963,0.00108974,0.963722,66.3205,0.000950966,0.979008,5.52145,0.00454053,0.983865,61.8628,0.00107537,0.975862,All
70.7971,0.00105646,0.964581,67.0642,0.000914045,0.979701,5.58489,0.00442107,0.984149,62.5523,0.00103649,0.97659,All
71.5978,0.00102444,0.965414,67.8078,0.000878773,0.980368,5.64834,0.00430584,0.984426,63.2418,0.000999247,0.977292,All
72.3986,0.000993611,0.966222,68.5515,0.000845066,0.981009,5.71178,0.00419465,0.984696,63.9313,0.00096357,0.977968,All
73.1994,0.000963928,0.967006,69.2951,0.000812847,0.981625,5.77523,0.00408731,0.984958,64.6208,0.000929382,0.978621,All
74.0002,0.000935338,0.967766,70.0388,0.000782041,0.982218,5.83867,0.00398367,0.985214,65.3102,0.000896611,0.97925,All
74.8009,0.000907793,0.968504,70.7825,0.000752577,0.982789,5.90212,0.00388355,0.985464,65.9997,0.00086519,0.979857,All
75.6017,0.000881247,0.96922,71.5261,0.00072439,0.983338,5.96556,0.00378681,0.985707,66.6892,0.000835055,0.980443,All
76.4025,0.000855657,0.969916,72.2698,0.000697416,0.983866,6.02901,0.00369331,0.985944,67.3787,0.000806145,0.981009,All
77.2032,0.000830982,0.970591,73.0134,0.000671598,0.984375,6.09245,0.00360291,0.986176,68.0682,0.000778404,0.981555,All
78.004,0.000807184,0.971247,73.7571,0.000646878,0.984865,6.1559,0.00351547,0.986402,68.7577,0.000751778,0.982083,All
78.8048,0.000784223,0.971884,74.5007,0.000623204,0.985338,6.21934,0.00343088,0.986622,69.4472,0.000726215,0.982592,All
79.6056,0.000762067,0.972503,75.2444,0.000600525,0.985792,6.28278,0.00334902,0.986837,70.1366,0.000701666,0.983084,All
