CL_vs_Q1_abscissa,CL_vs_Q1_spline,CL_vs_Q1_regression,CL_vs_Vc_abscissa,CL_vs_Vc_spline,CL_vs_Vc_regression,CL_vs_Vp1_abscissa,CL_vs_Vp1_spline,CL_vs_Vp1_regression,Q1_vs_CL_abscissa,Q1_vs_CL_spline,Q1_vs_CL_regression,Q1_vs_Vc_abscissa,Q1_vs_Vc_spline,Q1_vs_Vc_regression,Q1_vs_Vp1_abscissa,Q1_vs_Vp1_spline,Q1_vs_Vp1_regression,Vc_vs_CL_abscissa,Vc_vs_CL_spline,Vc_vs_CL_regression,Vc_vs_Q1_abscissa,Vc_vs_Q1_spline,Vc_vs_Q1_regression,Vc_vs_Vp1_abscissa,Vc_vs_Vp1_spline,Vc_vs_Vp1_regression,Vp1_vs_CL_abscissa,Vp1_vs_CL_spline,Vp1_vs_CL_regression,Vp1_vs_Q1_abscissa,Vp1_vs_Q1_spline,Vp1_vs_Q1_regression,Vp1_vs_Vc_abscissa,Vp1_vs_Vc_spline,Vp1_vs_Vc_regression
2.16853,0.456042,0.976992,0.301542,0.461031,0.403146,0.889402,-1.38073,-0.987279,0.309618,0.420069,0.271832,0.301542,0.261459,0.350478,0.889402,-0.371578,-0.525544,0.309618,0.169375,0.158398,2.16853,0.131631,0.533986,0.889402,-0.77978,-0.598813,0.309618,-0.00366158,-0.0738958,2.16853,0.0295086,-0.0987287,0.301542,-0.162742,-0.0949003
2.25111,0.443448,1.0135,0.33063,0.479795,0.438975,0.91465,-1.36062,-1.0155,0.35591,0.407595,0.322303,0.33063,0.221011,0.387571,0.91465,-0.246639,-0.5383,0.35591,0.195416,0.186576,2.25111,0.139805,0.55509,0.91465,-0.762209,-0.615049,0.35591,-0.0264556,-0.0877266,2.25111,0.0701904,-0.103252,0.33063,-0.179773,-0.105019
2.33368,0.430855,1.05002,0.359719,0.498038,0.474803,0.939898,-1.34052,-1.04371,0.402203,0.393628,0.372773,0.359719,0.181866,0.424664,0.939898,-0.121699,-0.551056,0.402203,0.221352,0.214753,2.33368,0.147978,0.576195,0.939898,-0.744638,-0.631284,0.402203,-0.0494659,-0.101557,2.33368,0.110872,-0.107776,0.359719,-0.196116,-0.115138
2.41626,0.418261,1.08653,0.388808,0.516282,0.510632,0.965146,-1.32041,-1.07193,0.448495,0.373635,0.423244,0.388808,0.142721,0.461758,0.965146,0.00324045,-0.563813,0.448495,0.246862,0.24293,2.41626,0.156152,0.597299,0.965146,-0.727067,-0.647519,0.448495,-0.0733638,-0.115388,2.41626,0.151554,-0.112299,0.388808,-0.212458,-0.125256
2.49883,0.405667,1.12304,0.417897,0.534525,0.546461,0.990394,-1.30031,-1.10015,0.494787,0.351404,0.473714,0.417897,0.103575,0.498851,0.990394,0.12818,-0.576569,0.494787,0.272157,0.271108,2.49883,0.164326,0.618403,0.990394,-0.709496,-0.663754,0.494787,-0.0986691,-0.129219,2.49883,0.192236,-0.116822,0.417897,-0.228801,-0.135375
2.58141,0.393074,1.15956,0.446986,0.552769,0.58229,1.01564,-1.2802,-1.12836,0.541079,0.329499,0.524184,0.446986,0.0644301,0.535944,1.01564,0.25312,-0.589325,0.541079,0.297372,0.299285,2.58141,0.172499,0.639507,1.01564,-0.691925,-0.679989,0.541079,-0.125873,-0.14305,2.58141,0.232917,-0.121346,0.446986,-0.245143,-0.145494
2.66399,0.38048,1.19607,0.476075,0.571012,0.618119,1.04089,-1.2601,-1.15658,0.587371,0.312019,0.574655,0.476075,0.0252848,0.573037,1.04089,0.378059,-0.602081,0.587371,0.322676,0.327463,2.66399,0.180673,0.660612,1.04089,-0.674354,-0.696225,0.587371,-0.156698,-0.156881,2.66399,0.273599,-0.125869,0.476075,-0.261486,-0.155613
2.74656,0.367887,1.23258,0.505164,0.585615,0.653948,1.06614,-1.23999,-1.1848,0.633663,0.300958,0.625125,0.505164,0.0275991,0.61013,1.06614,0.502999,-0.614837,0.633663,0.348175,0.35564,2.74656,0.188847,0.681716,1.06614,-0.656783,-0.71246,0.633663,-0.191492,-0.170711,2.74656,0.314281,-0.130393,0.505164,-0.266176,-0.165731
2.82914,0.355293,1.26909,0.534253,0.600195,0.689777,1.09139,-1.21989,-1.21302,0.679956,0.289898,0.675596,0.534253,0.0301793,0.647223,1.09139,0.627939,-0.627594,0.679956,0.373673,0.383817,2.82914,0.19702,0.70282,1.09139,-0.639212,-0.728695,0.679956,-0.226287,-0.184542,2.82914,0.354962,-0.134916,0.534253,-0.270792,-0.17585
2.91171,0.3427,1.30561,0.563342,0.614775,0.725605,1.11663,-1.19978,-1.24123,0.726248,0.290862,0.726066,0.563342,0.0327595,0.684316,1.11663,0.752878,-0.64035,0.726248,0.399618,0.411995,2.91171,0.205194,0.723924,1.11663,-0.621641,-0.74493,0.726248,-0.26701,-0.198373,2.91171,0.395644,-0.139439,0.563342,-0.275408,-0.185969
2.99429,0.330106,1.34212,0.592431,0.629355,0.761434,1.14188,-1.17967,-1.26945,0.77254,0.314801,0.776537,0.592431,0.0353397,0.721409,1.14188,0.877818,-0.653106,0.77254,0.426493,0.440172,2.99429,0.213368,0.745029,1.14188,-0.604071,-0.761166,0.77254,-0.317583,-0.212204,2.99429,0.436326,-0.143963,0.592431,-0.280024,-0.196087
3.07686,0.317513,1.37863,0.621519,0.643393,0.797263,1.16713,-1.15957,-1.29767,0.818832,0.345485,0.827007,0.621519,0.0473115,0.758503,1.16713,1.00276,-0.665862,0.818832,0.453646,0.468349,3.07686,0.221541,0.766133,1.16713,-0.5865,-0.777401,0.818832,-0.370973,-0.226035,3.07686,0.477008,-0.148486,0.621519,-0.282225,-0.206206
3.15944,0.304919,1.41515,0.650608,0.65533,0.833092,1.19238,-1.13946,-1.32588,0.865124,0.376169,0.877477,0.650608,0.0988724,0.795596,1.19238,1.1277,-0.678619,0.865124,0.480798,0.496527,3.15944,0.229715,0.787237,1.19238,-0.568929,-0.793636,0.865124,-0.424364,-0.239866,3.15944,0.517689,-0.15301,0.650608,-0.274394,-0.216325
3.24201,0.292325,1.45166,0.679697,0.66699,0.868921,1.21763,-1.11936,-1.3541,0.911416,0.474533,0.927948,0.679697,0.156336,0.832689,1.21763,1.25264,-0.691375,0.911416,0.51089,0.524704,3.24201,0.237888,0.808341,1.21763,-0.551358,-0.809871,0.911416,-0.503005,-0.253696,3.24201,0.558371,-0.157533,0.679697,-0.265096,-0.226443
3.32459,0.279732,1.48817,0.708786,0.67835,0.90475,1.24287,-1.09925,-1.38232,0.957709,0.582881,0.978418,0.708786,0.220782,0.869782,1.24287,1.37758,-0.704131,0.957709,0.541415,0.552882,3.32459,0.246062,0.829446,1.24287,-0.533787,-0.826106,0.957709,-0.585371,-0.267527,3.32459,0.599053,-0.162056,0.708786,-0.254085,-0.236562
3.40716,0.267138,1.52468,0.737875,0.68828,0.940579,1.26812,-1.07915,-1.41054,1.004,0.691228,1.02889,0.737875,0.320207,0.906875,1.26812,1.50252,-0.716887,1.004,0.571941,0.581059,3.40716,0.254236,0.85055,1.26812,-0.516216,-0.842342,1.004,-0.667737,-0.281358,3.40716,0.639734,-0.16658,0.737875,-0.234548,-0.246681
3.48974,0.254545,1.5612,0.766964,0.697597,0.976407,1.29337,-1.05904,-1.43875,1.05029,0.799575,1.07936,0.766964,0.435702,0.943968,1.29337,1.62746,-0.729644,1.05029,0.602466,0.609236,3.48974,0.262409,0.871654,1.29337,-0.498645,-0.858577,1.05029,-0.750103,-0.295189,3.48974,0.680416,-0.171103,0.766964,-0.211131,-0.2568
3.57231,0.241951,1.59771,0.796053,0.706914,1.01224,1.31862,-1.03893,-1.46697,1.09659,0.907923,1.12983,0.796053,0.551197,0.981061,1.31862,1.7524,-0.7424,1.09659,0.632992,0.637414,3.57231,0.270583,0.892758,1.31862,-0.481074,-0.874812,1.09659,-0.832469,-0.30902,3.57231,0.721098,-0.175627,0.796053,-0.187714,-0.266918
