time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
62.9304,0.00911776,62.9304,0.0140982,62.9304,0.140652,29.0961,0.142536,101.135,-0.231576,29.0961,0.275083,All
65.7986,-0.012691,65.7986,0.0265633,65.7986,0.144842,29.2518,0.141428,106.457,-0.234127,29.2518,0.275123,All
69.0884,-0.0371,69.0884,0.0387336,69.0884,0.148943,30.5509,0.13218,111.78,-0.236678,30.5509,0.275456,All
72.3783,-0.0613504,72.3783,0.043415,72.3783,0.152576,32.0057,0.121824,113.183,-0.237349,32.0057,0.275828,All
75.6682,-0.0860038,75.6682,0.0340496,75.6682,0.156028,33.4604,0.111467,117.103,-0.239228,33.4604,0.2762,All
78.9581,-0.110984,78.9581,0.0164398,78.9581,0.159425,34.9152,0.101111,122.426,-0.241779,34.9152,0.276572,All
80.0172,-0.119149,80.0172,0.00809131,80.0172,0.160489,36.37,0.0907545,127.749,-0.24433,36.37,0.276944,All
82.2479,-0.13647,82.2479,-0.0116181,82.2479,0.162677,36.733,0.0881697,133.072,-0.246881,36.733,0.277037,All
85.5378,-0.162259,85.5378,-0.0434327,85.5378,0.165741,37.8247,0.0803981,138.395,-0.249431,37.8247,0.277317,All
88.8277,-0.188265,88.8277,-0.074787,88.8277,0.168546,39.2795,0.0700418,143.717,-0.251982,39.2795,0.277689,All
92.1176,-0.214381,92.1176,-0.101406,92.1176,0.171041,40.7343,0.0596854,149.04,-0.254533,40.7343,0.278061,All
95.4074,-0.240522,95.4074,-0.119551,95.4074,0.173173,42.189,0.0483988,150.507,-0.255236,42.189,0.275997,All
98.6973,-0.266656,98.6973,-0.129378,98.6973,0.174996,43.6438,0.0364949,154.363,-0.257084,43.6438,0.272317,All
101.743,-0.290836,101.743,-0.131787,101.743,0.176464,45.0985,0.0245909,159.686,-0.259634,45.0985,0.268637,All
101.987,-0.29277,101.987,-0.13178,101.987,0.176576,46.1276,0.0161813,165.009,-0.262185,46.1276,0.26601,All
105.277,-0.31885,105.277,-0.127929,105.277,0.177991,46.5533,0.0128079,170.332,-0.264736,46.5533,0.264695,All
108.567,-0.344882,108.567,-0.11915,108.567,0.179321,48.0081,0.00128102,175.655,-0.267287,48.0081,0.2602,All
111.857,-0.370819,111.857,-0.10496,111.857,0.180661,49.4628,-0.0102459,180.977,-0.269837,49.4628,0.255704,All
115.147,-0.396756,115.147,-0.0907705,115.147,0.182001,50.9176,-0.0217728,186.3,-0.272388,50.9176,0.251209,All
118.437,-0.422522,118.437,-0.0735111,118.437,0.183616,52.3724,-0.0332997,191.623,-0.274939,52.3724,0.246714,All
121.726,-0.44825,121.726,-0.0557992,121.726,0.1853,53.8271,-0.0448266,196.946,-0.27749,53.8271,0.242219,All
125.016,-0.473848,125.016,-0.0392239,125.016,0.187329,55.2819,-0.0563535,200.141,-0.279021,55.2819,0.237723,All
128.306,-0.499314,128.306,-0.0238012,128.306,0.189707,56.7367,-0.0678804,202.269,-0.280041,56.7367,0.233228,All
129.369,-0.507538,129.369,-0.0188202,129.369,0.190475,57.9248,-0.0772943,207.592,-0.282591,57.9248,0.229557,All
131.596,-0.524709,131.596,-0.00987401,131.596,0.192307,58.1914,-0.0794073,212.915,-0.285142,58.1914,0.228733,All
