Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
-0.111437,0.233733,0.215973,0.24297,0.266042,0.263282,-0.3158,-0.690632,-0.43257,-1.7314,0.167688,0.130503,0.24297,0.0191637,0.0409889,-0.3158,0.0333682,-0.00650667,-1.7314,0.019511,-0.0172834,-0.111437,0.139194,0.123668,-0.3158,0.00686109,0.0717156,-1.7314,-0.100336,-0.088619,-0.111437,-0.0870049,-0.0309642,0.24297,-0.0477531,0.0307085
-0.0964201,0.205821,0.193611,0.260107,0.281242,0.300846,-0.295391,-0.712074,-0.406935,-1.65277,0.164762,0.126789,0.260107,0.0268421,0.0398295,-0.295391,0.0445725,-0.00296798,-1.65277,0.0279015,-0.0113377,-0.0964201,0.139328,0.122563,-0.295391,0.0111022,0.074232,-1.65277,-0.098194,-0.0841088,-0.0964201,-0.0901771,-0.0272158,0.260107,-0.0709128,0.0335056
-0.0814037,0.177615,0.171249,0.277245,0.302216,0.33841,-0.274982,-0.725882,-0.381301,-1.57413,0.161446,0.123074,0.277245,0.0336137,0.0386701,-0.274982,0.0543727,0.000570721,-1.57413,0.0351887,-0.00539199,-0.0814037,0.13938,0.121458,-0.274982,0.0181984,0.0767484,-1.57413,-0.09551,-0.0795986,-0.0814037,-0.0921177,-0.0234674,0.277245,-0.0901906,0.0363028
-0.0663873,0.149033,0.148887,0.294382,0.326898,0.375974,-0.254574,-0.73151,-0.355667,-1.4955,0.157742,0.11936,0.294382,0.0397879,0.0375107,-0.254574,0.0626576,0.00410942,-1.4955,0.0413691,0.000553721,-0.0663873,0.139028,0.120353,-0.254574,0.0282477,0.0792647,-1.4955,-0.0922831,-0.0750884,-0.0663873,-0.0918072,-0.019719,0.294382,-0.106925,0.0391
-0.0513709,0.120408,0.126525,0.31152,0.358067,0.413538,-0.234165,-0.727838,-0.330033,-1.41686,0.154037,0.115646,0.31152,0.0448852,0.0363513,-0.234165,0.0692098,0.00764811,-1.41686,0.0475496,0.00649943,-0.0513709,0.138452,0.119248,-0.234165,0.0415458,0.0817811,-1.41686,-0.0890563,-0.0705782,-0.0513709,-0.0908324,-0.0159706,0.31152,-0.119084,0.0418971
-0.0363544,0.0917832,0.104163,0.328657,0.393647,0.451102,-0.213757,-0.714157,-0.304398,-1.33823,0.150333,0.111931,0.328657,0.0492384,0.0351919,-0.213757,0.0739031,0.0111868,-1.33823,0.05373,0.0124451,-0.0363544,0.137877,0.118144,-0.213757,0.0580322,0.0842975,-1.33823,-0.0858294,-0.066068,-0.0363544,-0.0898576,-0.0122223,0.328657,-0.128071,0.0446943
-0.021338,0.0631741,0.0818012,0.345795,0.43737,0.488665,-0.193348,-0.691229,-0.278764,-1.2596,0.146178,0.108217,0.345795,0.0521673,0.0340325,-0.193348,0.0769036,0.0147255,-1.2596,0.0585126,0.0183908,-0.021338,0.136745,0.117039,-0.193348,0.0769033,0.0868138,-1.2596,-0.0819238,-0.0615578,-0.021338,-0.0876736,-0.00847388,0.345795,-0.130947,0.0474914
-0.0063216,0.0346182,0.0594393,0.362932,0.487033,0.526229,-0.172939,-0.660183,-0.25313,-1.18096,0.141491,0.104503,0.362932,0.0540475,0.0328731,-0.172939,0.0784425,0.0182642,-1.18096,0.0615892,0.0243365,-0.0063216,0.135117,0.115934,-0.172939,0.0973062,0.0893302,-1.18096,-0.0771933,-0.0570476,-0.0063216,-0.0845511,-0.0047255,0.362932,-0.129315,0.0502886
0.00869482,0.00627995,0.0370773,0.38007,0.536695,0.563793,-0.152531,-0.619312,-0.227496,-1.10233,0.136317,0.100788,0.38007,0.0559277,0.0317137,-0.152531,0.078255,0.0218029,-1.10233,0.0632027,0.0302823,0.00869482,0.132504,0.114829,-0.152531,0.11861,0.0918466,-1.10233,-0.0717607,-0.0525374,0.00869482,-0.0799585,-0.000977125,0.38007,-0.127683,0.0530857
0.0237112,-0.0220572,0.0147154,0.397207,0.586357,0.601357,-0.132122,-0.57493,-0.201861,-1.0237,0.131028,0.097074,0.397207,0.0578079,0.0305543,-0.132122,0.0774583,0.0253416,-1.0237,0.0645535,0.036228,0.0237112,0.129886,0.113724,-0.132122,0.140062,0.094363,-1.0237,-0.0662033,-0.0480272,0.0237112,-0.075359,0.00277125,0.397207,-0.126052,0.0558829
